1,Oklahoma,2024-03-17 04:32:32
2,New South Wales,2024-03-17 04:32:32
3,Queensland,2024-03-17 04:32:32
4,Berlin,2024-03-17 04:32:32
5,Dakar,2024-03-17 04:32:32
6,Wellington,2024-03-17 04:32:32
7,Waikato,2024-03-17 04:32:32
8,Washington,2024-03-17 04:32:32
9,Kabul,2024-03-17 04:32:32
10,Jizan,2024-03-17 04:32:32
11,Parana,2024-03-17 04:32:32
12,Heilongjiang,2024-03-17 04:32:32
13,Ile-de-France,2024-03-17 04:32:32
14,Texas,2024-03-17 04:32:32
15,Tuscany,2024-03-17 04:32:32
16,Kigoma,2024-03-17 04:32:32
17,Silesia,2024-03-17 04:32:32
18,Anhui,2024-03-17 04:32:32
19,Scotland,2024-03-17 04:32:32
20,Chihuahua,2024-03-17 04:32:32
21,San Salvador,2024-03-17 04:32:32
22,Taipei City,2024-03-17 04:32:32
23,Saxony,2024-03-17 04:32:32
24,New York,2024-03-17 04:32:32
25,Gujarat,2024-03-17 04:32:32
26,Santo Domingo,2024-03-17 04:32:32
27,Brittany,2024-03-17 04:32:32
28,California,2024-03-17 04:32:32
29,Katanga,2024-03-17 04:32:32
30,England,2024-03-17 04:32:32
31,Nusa Tenggara Barat,2024-03-17 04:32:32
32,Haryana,2024-03-17 04:32:32
33,Kerala,2024-03-17 04:32:32
34,Mississippi,2024-03-17 04:32:32
35,Shandong,2024-03-17 04:32:32
36,Jharkhand,2024-03-17 04:32:32
37,Paysandú,2024-03-17 04:32:32
38,Mazandaran,2024-03-17 04:32:32
39,Cidade De Maputo,2024-03-17 04:32:32
40,Madhya Pradesh,2024-03-17 04:32:32
41,Delhi,2024-03-17 04:32:32
42,Western Australia,2024-03-17 04:32:32
43,Dhaka,2024-03-17 04:32:32
44,Pennsylvania,2024-03-17 04:32:32
45,Lower Saxony,2024-03-17 04:32:32
46,Jiangsu,2024-03-17 04:32:32
47,North Carolina,2024-03-17 04:32:32
48,Andalusía,2024-03-17 04:32:32
49,Uttarakhand,2024-03-17 04:32:32
50,Durango,2024-03-17 04:32:32
51,Kharkiv,2024-03-17 04:32:32
52,Chinandega,2024-03-17 04:32:32
53,Kasai-Occidental,2024-03-17 04:32:32
54,Sumatera Selatan,2024-03-17 04:32:32
55,Victoria,2024-03-17 04:32:32
56,North Rhine-Westphalia,2024-03-17 04:32:32
57,Sichuan,2024-03-17 04:32:32
58,West Bengal,2024-03-17 04:32:32
59,Nord-Pas-de-Calais-Picardie,2024-03-17 04:32:32
60,Meknès-Tafilalet,2024-03-17 04:32:32
61,Oregon,2024-03-17 04:32:32
62,Jawa Barat,2024-03-17 04:32:32
63,Grand Casablanca,2024-03-17 04:32:32
64,National Capital,2024-03-17 04:32:32
65,Styria,2024-03-17 04:32:32
66,Kinshasa,2024-03-17 04:32:32
67,Aquitaine-Limousin-Poitou-Charentes,2024-03-17 04:32:32
68,Puebla,2024-03-17 04:32:32
69,Bavaria,2024-03-17 04:32:32
